Project_Name,Owner,Developer,Address,Zip_Code,Council_District,Kirwan_Opportunity_Index,Distance_to_Bus_Stop,Total_Units,Total_Affordable_Units,Unit_Type,Program,Housing_Type,Status,Affordability_Start_Date,Affordability_Period,Affordability_Expiration_Date,Certification_Date,C._of_O._Date,Required_Amount_of_Fee_in_Lieu,Date_Fee_in_Lieu_Received,Market_Rate_Units,City_Funded_Amount,%_of_Funds_Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/17/09 0:00,10,7/17/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310384396482199, -97.681006333465703)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/30/09 0:00,10,6/30/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3103249697404, -97.681365696533305)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/09 0:00,10,9/30/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310573681700799, -97.680924100686696)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/30/09 0:00,10,9/30/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310739929073399, -97.680996561433801)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/31/09 0:00,10,3/31/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310471485434999, -97.681524035472606)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/27/13 0:00,10,3/27/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3108544146334, -97.681106265818798)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,4/27/10 0:00,10,4/27/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310706806936501, -97.681589114997905)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/17/09 0:00,10,7/17/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310986951751801, -97.681165895867295)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/17/09 0:00,10,6/17/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3108280102858, -97.681676572423399)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/17/09 0:00,10,7/17/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.311105806962299, -97.681227582195802)"
Devonshire Village,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78723,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,6/4/10 0:00,10,6/4/20 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310971339989401, -97.681680907548298)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,11/19/09 0:00,15,11/19/24 0:00,,,,,0,"$154,580.00 ",32.45%,No,No,No,No,No,No,Yes,No,No,No,"(30.1789336236391, -97.760431567375505)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/24/10 0:00,15,2/25/25 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.179128955907501, -97.760320983548297)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/17/09 0:00,15,3/17/24 0:00,,,,,0,"$234,580.00 ",32.85%,No,No,No,No,No,No,Yes,No,No,No,"(30.1788256013023, -97.760013356602798)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/17/09 0:00,15,3/17/24 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178930519282499, -97.759918633703194)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/17/09 0:00,15,3/17/24 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178796454493401, -97.759600516691606)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,"$452,495.00 ",429.79%,No,No,No,No,No,No,Yes,No,No,No,"(30.178194393024398, -97.758129461678706)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.177806548055901, -97.758330649202193)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1782445609254, -97.758225276176503)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1778512264688, -97.758454371660505)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178286243207499, -97.758349078989099)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.177916736487099, -97.7585636423496)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178348869598999, -97.7584653912091)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.177961232812599, -97.758676955195796)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1783988552937, -97.758579507927394)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178016110743801, -97.758775873123398)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1784426840089, -97.758722532274206)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178062787729701, -97.758912838182098)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178495604242102, -97.758837615688506)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178555837040399, -97.7589580125249)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178166523680801, -97.759119065465597)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178599553994299, -97.759095500468106)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178198169951099, -97.759236203280494)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178256217430199, -97.759355993424904)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/20/09 0:00,11,10/20/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178355314590299, -97.759590075582807)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178308003280701, -97.759455722469198)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178384599455601, -97.759727947882496)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178413605589199, -97.759851962452004)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178430544831201, -97.759976330098695)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178452321275, -97.760100537317996)"
Meadow Lake Subdivision,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,10/19/09 0:00,10,10/19/19 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.178461946388101, -97.760219528393307)"
Austin Neighborhood Alliance for Habitat - SF,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78721,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/22/13 0:00,10,3/22/23 0:00,,,,,0,"$62,500.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.274318855732801, -97.687691015864203)"
Austin Neighborhood Alliance for Habitat - SF,Undisclosed,Austin Neighborhood Alliance for Habitat,Undisclosed,78721,1,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,3/22/13 0:00,10,3/22/23 0:00,,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2742940946262, -97.687592149535604)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,7/29/14 0:00,,,,,,,0,"$525,000.00 ",0%,No,No,No,No,No,No,No,No,No,No,"(30.194889667835401, -97.755044263629003)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78744,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,12/15/14 0:00,,,,,,,0,$0.00 ,0%,No,No,No,No,No,No,No,No,No,No,"(30.188332959875101, -97.753681386779405)"
Frameworks Community Development Corporation - SF,Undisclosed,Frameworks Community Development Corporation,Undisclosed,78617,2,Low,Neither,1,1,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,9/12/13 0:00,,,,,,,0,$0.00 ,0%,No,No,No,No,No,No,No,No,No,No,"(30.1727726966006, -97.611785211783896)"
Austin Revitalization Authority - SF,Undisclosed,Austin Revitalization Authority,Undisclosed,78702,1,Low,1/4 Mile,1,1,Single Family,A&D,Ownership,Affordability Period Expired,3/10/10 0:00,1,3/10/11 0:00,,,,,0,"$120,000.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.270221008109001, -97.729332839638005)"
Ivy Condos - Acq of 10 Units (2/5/13),"ESCT Austin Housing III, Inc.",Easter Seals of Central Texas,3204 Manchaca Road,78704,5,High,1/4 Mile,10,10,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/15/13 0:00,99,2/15/12 0:00,,,,,0,"$705,307.00 ",149.83%,No,No,No,No,No,No,No,No,No,No,"(30.240275740263598, -97.782668760111804)"
Sheldon 230,KB Homes (a.k.a. KB Sheldon),KB Homes,8101 Salt Springs Drive,78744,2,Very Low,1/4 Mile,910,364,Single Family,Developer Incentive,Ownership,Affordability Period Expired,,1,,6/5/03,,,,546,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.158749199192801, -97.745490155016398)"
Baker Steet Subdivision,Flex Realty,Flex Realty,5007 Baker Street,78721,1,Very Low,1/4 Mile,34,34,Single Family,Developer Incentive,Ownership,Project Cancelled,,1,,3/26/04,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.282637226416298, -97.678351732896104)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,6/28/16 0:00,1,6/28/17 0:00,2/25/08,6/28/16,,,0,$0.00 ,0%,Yes,No,No,No,No,No,Yes,No,No,No,"(30.265135724613199, -97.705255535964199)"
Villita Avenida 4-Home NC,Undisclosed,American Youthworks,6914 Villita Avenida,78741,3,Very Low,1/4 Mile,4,4,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,2/11/15 0:00,1,2/11/16 0:00,,,,,0,"$102,500.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.230401264492802, -97.690387859024)"
Thornbury Subdivion,KB Homes,KB Homes,,78754,1,Very Low,1/4 Mile,485,194,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,12/31/99 0:00,7/7/10,,,,291,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3442658303276, -97.613909301900605)"
St. James Apartments,Burlington Ventures Inc.,Burlington Ventures,5514 Roosevelt Avenue,78756,7,Very Low,1/4 Mile,9,2,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,2/15/14 0:00,5,2/15/19 0:00,2/16/12,2/15/14,,,7,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.326938382395198, -97.732969950094699)"
Gaston Place,Accessible Housing Austin!,Accessible Housing Austin!,1920 Gaston Place Drive,78723,1,Very Low,1/4 Mile,27,27,Multifamily,RHDA,Rental,Project Certified / Loan Executed,,99,,5/21/15,,,,0,"$2,192,000.00 ",196.14%,No,No,No,No,No,No,Yes,No,No,No,"(30.313462024771301, -97.689690373649199)"
Monarch at Lakeline Station,Mgroup Holdings,Mgroup,9821 N Lake Creek Parkway,78717,6,High,1/4 Mile,141,141,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,1/23/15,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.469745802441, -97.789239676320094)"
2201 SL Davis Avenue,"Jim Rath, Owner","Jim Rath, Owner",2201 S L Davis Avenue,78702,1,Very Low,1/4 Mile,2,2,Single Family,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/5/13 0:00,5,11/5/18 0:00,5/4/12,11/5/13,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.270890000000001, -97.716105999999996)"
7th Street TOD,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,906 E 7th Street,78702,1,Very Low,1/4 Mile,6,6,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,10/4/10,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.266504764865498, -97.732626243238997)"
Streetman Homes (RMMA Section 6),Streetman Homes,Streetman Homes,2445 Robert Browning Street,78723,9,Very Low,1/4 Mile,95,24,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,2/13/13 0:00,1,2/13/14 0:00,7/15/12,2/13/13,,,71,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.298408045347301, -97.697879355672697)"
David Weekly Homes (RMMA Section 6),David Weekly Homes,David Weekly Homes,1830 McBee Street,78723,9,Moderate,1/4 Mile,73,18,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,3/5/14 0:00,1,3/5/15 0:00,7/6/12,3/5/14,,,55,$0.00 ,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.298209159868701, -97.704181428756897)"
Lakeside Engineering - SF,Lakeside Engineering,Lakeside Engineering,1123 Walton Lane,78721,3,Very Low,1/4 Mile,8,3,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,4/17/15 0:00,5,4/17/20 0:00,4/7/16,,,,5,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.259263550673602, -97.687313047141302)"
The Point at Ben White,Ben White Senior Development LP,Ben White Senior Development LP,6934 E Ben White Boulevard,78741,3,Very Low,1/2 Mile,250,250,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,2/26/16 0:00,5,2/26/21 0:00,9/21/12,2/26/16,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.216318028295799, -97.703583009755704)"
Villages at Ben White,Ben White Senior Development LP,Ben White Senior Development LP,7016 E Ben White Boulevard,78741,3,Low,1/4 Mile,183,183,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,9/21/12,,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2158612511363, -97.701173845317001)"
Parmer Place Apartments,"Pedcor Investments 2012-CXXX, LP","Pedcor Investments 2012-CXXX, LP",1500 Parmer Lane,78727,7,Very Low,1/4 Mile,332,332,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/6/16 0:00,5,10/6/21 0:00,7/17/13,10/6/16,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.3904719905596, -97.651732367058599)"
William Cannon Apartments,"Pedcor Investments 2012-CXXX, LP","Pedcor Investments 2012-CXXX, LP",2112 William Cannon Drive,78744,2,Very Low,1/4 Mile,252,252,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,1/8/16 0:00,5,1/8/21 0:00,9/21/12,1/8/16,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.1878667909073, -97.761317896230295)"
The Paddock at Norwood,"LDG Norwood, LP",LDG Norwood,1044 Norwood Park Boulevard,78753,4,Moderate,1/4 Mile,228,228,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,7/14/14 0:00,5,7/14/19 0:00,10/17/12,7/14/14,,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.336546703188901, -97.691552328313705)"
